Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
Udacity,US East (N. Virginia),,Amazon EC2,0,3235.902,38830.82,USD,"Operating system (Linux), Storage amount (100 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month), Workload (Consistent, Number of instances: 12), Advance EC2 instance (c6g.4xlarge), Pricing strategy (EC2 Instance Savings Plans 1 Year  None upfront), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB)"
Udacity,US East (N. Virginia),,Amazon EC2,0,3235.902,38830.82,USD,"Operating system (Linux), Storage amount (100 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month), Workload (Consistent, Number of instances: 12), Advance EC2 instance (c6g.4xlarge), Pricing strategy (EC2 Instance Savings Plans 1 Year  None upfront), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB)"
Udacity,US East (N. Virginia),,Amazon RDS for PostgreSQL,0,2102.04,25224.48,USD,"Storage volume (General Purpose SSD (gp2)), Storage amount (100 GB per month), Nodes (1), Instance Type (db.m5.4xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Multi-AZ), Pricing Model (OnDemand)"
Udacity,US East (N. Virginia),,Amazon Route 53,0,5538,66456.00,USD,"Hosted Zones (1), Basic Checks Within AWS (2000), Number of Elastic Network Interfaces (50)"
Udacity,US East (N. Virginia),,S3 Standard,0,230,2760.00,USD,S3 Standard storage (10000 GB per month)
Udacity,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,
Udacity,US East (N. Virginia),,Amazon Virtual Private Cloud (VPC),0,1865.7,22388.40,USD,Number of NAT Gateways (2)
Udacity,US East (N. Virginia),,Application Load Balancer,0,1330.43,15965.16,USD,Number of Application Load Balancers (1)
Udacity,US East (N. Virginia),,Network Load Balancer,0,1330.43,15965.16,USD,"Number of Network Load Balancers (1), Processed bytes per NLB for TCP (200 GB per hour), Average number of new TCP connections ( per second), Processed bytes per NLB for TLS (100 GB per hour)"
,,,,,,
Total Monthly,,,18868.40 USD,,,
,,,,,,
,,,EC2 - increase number of instances from 6 to 12 for both WebServers and ApplicationServers. Upgrade increase type to c6g.4xlarge,,,
,,,Amazon Route 53 - increase Number of Elastic Network Interfaces from 5 to 50, increase Basic Checks Within AWS from 100 to 2000.,,,
,,,Amazon Virtual Private Cloud (VPC) - increase Number of NAT Gateways from 1 to 2 for 2 AZ, increate Data Processed per NAT Gateway from 10000 to 20000 GB per month,,,
,,,S3 - upgrade Standard Storage from 5000 to 10000 GB per month,,,

Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
